City_ID,City Name,Cloudiness,Country,Datetime,Humidity,Lat,Lng,Max Temp,Wind Speed
485,Statesboro,85,US,-18000,28,32.4488,-81.7832,63.72,13.56
486,Valle del Guamuez,51,CO,-18000,60,0.4525,-76.9192,76.42,3.78
487,Selfoss,90,IS,0,90,63.9331,-20.9971,43.68,5.5
488,Oddur,80,SO,10800,36,4.1213,43.8894,85.59,2.73
489,Savannah Bight,100,HN,-21600,73,16.45,-85.85,82.99,7.43
490,Guangyuan,100,CN,28800,76,32.442,105.823,55.58,1.28
491,Altamont,75,US,-28800,91,42.2068,-121.7372,42.78,4
492,Pierre,1,US,-21600,54,44.3683,-100.351,36.86,1.99
493,Igreja Nova,92,BR,-10800,49,-10.1253,-36.6619,87.53,13.82
494,Esqueda,96,MX,-25200,31,30.7167,-109.5833,54.52,4
495,Río Gallegos,40,AR,-10800,28,-51.6226,-69.2181,68.05,46.04
496,Punta Alta,1,AR,-10800,44,-38.8759,-62.0736,67.86,6.93
497,Sangar,100,RU,32400,97,63.9242,127.4739,-11.38,2.15
498,Esmeraldas,100,BR,-10800,86,-19.7625,-44.3139,77.86,6.46
499,Port Blair,100,IN,19800,82,11.6667,92.75,80.64,7.11
500,Sidi Ali,99,DZ,3600,54,36.0998,0.4206,64.42,9.42
501,Havre-St-Pierre,90,CA,-18000,93,50.2334,-63.5986,41,10.36
502,Llanes,0,ES,3600,61,43.4198,-4.7549,61.27,3.4
503,Constitución,12,CL,-10800,66,-35.3333,-72.4167,64.92,5.14
504,Tromsø,40,NO,3600,80,69.6496,18.957,34.38,3.44
505,Ulaangom,90,MN,25200,46,49.9811,92.0667,14.92,7.14
506,Peru,1,US,-18000,62,40.7537,-86.0689,38.57,5.75
507,Gigmoto,28,PH,28800,88,13.7796,124.39,78.84,4.14
508,Xiaoshan,54,CN,28800,88,30.1675,120.2588,59.85,4.47
509,Mariāni,1,IN,19800,89,26.6667,94.3333,63.25,2.24
510,Concepción del Oro,24,MX,-21600,65,24.6333,-101.4167,53.6,7.31
511,Nārāyanavanam,96,IN,19800,94,13.4167,79.5833,75.29,2.57
512,‘Ewa Beach,1,US,-36000,83,21.3156,-158.0072,75.15,4.61
513,Westport,1,US,-18000,51,41.1415,-73.3579,48.02,5.99
514,Roald,75,NO,3600,87,62.5833,6.1333,45.16,23.02
515,Kutum,0,SD,7200,17,14.2,24.6667,77.85,10.11
516,Hambantota,97,LK,19800,84,6.1241,81.1185,78.82,15.17
517,Ilula,69,TZ,10800,47,-7.6766,36.0366,74.05,6.53
518,Mazara del Vallo,0,IT,3600,72,37.6641,12.588,63,12.3
519,Lindi,12,TZ,10800,76,-10,39.7167,79.3,7.99
520,Olinda,75,BR,-10800,74,-8.0089,-34.8553,82.13,8.05
